id,series_type,user_id,series_id,status,score,progress,progress_volume,priority,repeat,private,notes,custom_lists,advanced_scores,hidden_default,started_on,finished_on,created_at,updated_at
450087504,1,7078392,170834,3,0,30,0,0,0,0,,[],[],0,0,0,2025-01-01 04:28:00,2025-01-01 04:28:00
450087556,1,7078392,180396,2,70,51,0,0,0,0,,[],[],0,20241231,20251018,2025-01-01 04:28:44,2025-10-19 12:05:14
450087782,1,7078392,131841,2,30,61,0,0,0,0,,[],[],0,0,20241231,2025-01-01 04:31:22,2025-01-01 04:31:22
450088078,1,7078392,130861,3,10,0,0,0,0,0,,[],[],0,0,0,2025-01-01 04:34:52,2025-01-01 04:34:52
450088155,1,7078392,150107,3,30,30,0,0,0,0,,[],[],0,0,0,2025-01-01 04:35:44,2025-01-01 04:35:44
450088227,1,7078392,107128,3,10,0,0,0,0,0,deserves a negative rating but unfortunately 1 is the lowest number,[],[],0,0,0,2025-01-01 04:36:21,2025-01-01 04:36:46
450088615,1,7078392,158576,2,50,60,0,0,0,0,,[],[],0,0,20241231,2025-01-01 04:41:00,2025-01-01 04:41:00
450391403,1,7078392,148414,4,70,2,0,0,0,0,,[],[],0,20250101,0,2025-01-02 10:57:04,2025-02-03 07:40:15
450398136,1,7078392,97701,1,0,0,0,0,0,0,,[],[],0,0,0,2025-01-02 11:21:18,2025-01-02 11:21:18
450399249,1,7078392,122226,3,0,0,0,0,0,0,,[],[],0,0,0,2025-01-02 11:27:58,2025-01-03 04:10:18
450399258,1,7078392,128448,3,0,0,0,0,0,0,,[],[],0,0,0,2025-01-02 11:28:01,2025-01-03 04:10:05
450399387,1,7078392,173228,3,10,4,0,0,0,0,,[],[],0,0,0,2025-01-02 11:29:17,2025-01-03 04:09:37
450399408,1,7078392,137816,4,50,25,0,0,0,0,,[],[],0,20250101,0,2025-01-02 11:29:26,2025-01-21 09:17:23
450755333,0,7078392,147105,1,0,0,0,0,0,0,,[],[],0,0,0,2025-01-04 03:06:35,2025-01-04 03:06:35
450755535,1,7078392,86082,1,0,0,0,0,0,0,,[],[],0,0,0,2025-01-04 03:08:02,2025-01-04 03:08:02
450755546,1,7078392,118586,1,0,0,0,0,0,0,,[],[],0,0,0,2025-01-04 03:08:06,2025-01-04 03:08:06
450755562,1,7078392,74489,0,70,36,0,0,0,0,,[],[],0,0,0,2025-01-04 03:08:11,2025-08-28 03:55:51
